Domain,,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Number,Domain,Datastructure,Looked at?,Algorithm Description,Algorithm Name,Year,Paper/Reference Link,Original paper?,Comments/Distinguishing Features,Wikipedia article namespace (if it exists and isn't in an earlier row),Authors,Constants,Constants Reference,Space,Space Class,Space Reference,Space Units,Model of Computation,Parameters,Prefered Parameter,Build (Time),Build Runtime Class,"Build Notes (constants, amortized?, randomized?, etc.)",Build Time Reference,Insert (Time),Insert Runtime Class,"Insert Notes (constants, amortized?, randomized?, etc.)",Insert Time Reference,Delete (Time),Delete Runtime Class,"Delete Notes (constants, amortized?, randomized?, etc.)",Delete Time Reference,Find (Time),Find Runtime Class,"Find Notes (constants, amortized?, randomized?, etc.)",Find Reference,Successor/Predecessor (Time),Successor/Predecessor Runtime Class,"Successor/Predecessor Notes (constants, amortized?, randomized?, etc.)",Successor/Predecessor Time Reference,Union (Time),Union Runtime Class,"Union Notes (constants, amortized?, randomized?, etc.)",Union Reference,Min/Max (Time),Min/Max Runtime Class,"Min/Max Notes (constants, amortized?, randomized?, etc.)",Max Reference,Increase-Key/Update (Time),Increase-Key/Update Runtime Class,"Increase-Key/Update Notes (constants, amortized?, randomized?, etc.)",Increase-Key/Update Reference,Push (Time),Push Runtime Class,"Push Notes (constants, amortized?, randomized?, etc.)",Push Reference,Pop Most Recent (Time),Pop Most Recent Runtime Class,"Pop Most Recent Notes (constants, amortized?, randomized?, etc.)",Pop Most Recent Reference,Pop Oldest (Time),Pop Oldest Runtime Class,"Pop Oldest Notes (constants, amortized?, randomized?, etc.)",Pop Oldest Reference,Nearest Neighbor (Time),Nearest Neighbor Runtime Class,"Nearest Neighbor Notes (constants, amortized?, randomized?, etc.)",Nearest Neighbor Reference,Range Search (Time),Range Search Runtime Class,"Range Search Notes (constants, amortized?, randomized?, etc.)",Range Search Reference,Query (Time),Query Runtime Class,"Query Notes (constants, amortized?, randomized?, etc.)",Query Reference,Improvement,Tradeoff
Approximate Membership Query Filter (with delete),219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,270,,Approximate Membership Query Filter (with delete),Counting Bloom Filter,1.0,,Variable-Increment Counting Bloom Filter,2010,https://ieeexplore.ieee.org/document/6195563,yes,,,"Rottenstreich, Kanizo, Keslassy",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,271,,Approximate Membership Query Filter (with delete),Counting Bloom Filter,1.0,,Fingerprint Counting Bloom Filter,2010,https://www.sciencedirect.com/science/article/pii/S0020019015001866,yes,,,"Pontarelli, Reviriego, Maestro",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,272,,Approximate Membership Query Filter (with delete),Counting Bloom Filter,1.0,,kBF,2010,https://ieeexplore.ieee.org/abstract/document/6848046,yes,For Key-Value storage,,"Xiong, Yao, Cao, He",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,274,,Approximate Membership Query Filter (with delete),Counting Bloom Filter,1.0,,Invertible Counting Bloom Filter,2010,https://ieeexplore.ieee.org/document/7737013,yes,For fast and effective synchronization b/w two given multisets,,"Luo, Guo, Wu, Rottenstreich, He, Qin, Luo",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,275,,Approximate Membership Query Filter (with delete),Counting Bloom Filter,1.0,,Invertible Bloom Lookup Table,2010,https://arxiv.org/abs/1101.2245,yes,For Key-Value storage,,"Goodrich, Mitzenmacher",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,276,,Approximate Membership Query Filter (with delete),Counting Bloom Filter,1.0,,EGH Filter,2010,https://ieeexplore.ieee.org/document/9353705,yes,,,"Kiss, Hosszu, Tapolcai, Ronyai, Rottenstreich",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,277,,Approximate Membership Query Filter (with delete),Counting Bloom Filter,1.0,,Invertible Bloom Filter,2010,https://www.ics.uci.edu/~eppstein/pubs/EppGooUye-SIGCOMM-11.pdf,yes,,,"Eppstein, Goodrich, Uyeda, Varghese",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,279,,Approximate Membership Query Filter (with delete),Counting Bloom Filter,1.0,,Shifting Bloom Filter,2010,https://dl.acm.org/doi/10.14778/2876473.2876476,yes,,,"Yang, Liu, Shahzad, Zhong, Fu, Li, Xie, Li",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions
lambda: multiplicative factor(?)",n,O(nk*lambda),6.0,Assumes evaluation of hash function is constant-time,,O(k*lambda),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k*lambda),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k*lambda),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,281,,Approximate Membership Query Filter (with delete),Bloom Filter,1.0,,Dynamic Bloom Filter,2010,https://cis.temple.edu/~wu/research/publications/Publication_files/The%20Dynamic%20Bloom%20Filters.pdf,yes,"Is scalable (dynamic set), can be parallelized. Has false negatiives",,"Guo, Wu, Chen, Yuan, Luo",,,O(ms),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in standard Bloom filter
k: number of hash functions
s: number of standard Bloom filters",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(ks),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(ks),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,282,,Approximate Membership Query Filter (with delete),Bloom Filter,1.0,,Dynamic Bloom Filter Array,2010,https://ieeexplore.ieee.org/abstract/document/6005420,yes,"Is scalable (dynamic set), can be parallelized. Has false negatiives",,"Wei, Jiang, Zhou, Feng",,,O(mr),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in standard Bloom filter
k: number of hash functions
r: number of standard Bloom filters",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(kr),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(kr),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,283,,Approximate Membership Query Filter (with delete),Bloom Filter,1.0,,Partitioned Bloom Filter,2010,https://ieeexplore.ieee.org/document/7079020,yes,"Is scalable (dynamic set), can be parallelized",,"Liu, Ge, Du, Huang",,,O(m*(s_m)),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in standard Bloom filter
k: number of hash functions
s_m: number of standard Bloom filters",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k*(s_m)),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k*(s_m)),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,284,,Approximate Membership Query Filter (with delete),Bloom Filter,1.0,,Multiple-Partitioned Counting Bloom Filter,2010,https://ieeexplore.ieee.org/document/6569893,yes,Can be parallelized. Has efficient (O(1)) memory accesses,,"Huang, Zhang, Zhang, Xie, Salamatian, Liu, Li",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,285,,Approximate Membership Query Filter (with delete),Bloom Filter,1.0,,Ternary Bloom Filter,2010,https://ieeexplore.ieee.org/document/7804774,yes,,,"Byun, Lee, Lim",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,286,,Approximate Membership Query Filter (with delete),Bloom Filter,1.0,,Deletable Bloom Filter,2010,https://arxiv.org/abs/1005.0352,yes,,,"Rothenberg, Macapuna, Verdi, Magalhaes",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Approximate Membership Query Filter (with delete),237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,288,,Approximate Membership Query Filter (with delete),Bloom Filter,1.0,,Temporal Counting Bloom Filter,2010,https://ieeexplore.ieee.org/document/6470609,yes,Has decay. Has false negatives. Used for networking,,"Zhao, Wu",,,O(m),5.99,,bits,Word RAM,"n: number of elements
m: number of bits in filter
k: number of hash functions",n,O(nk),6.0,Assumes evaluation of hash function is constant-time,,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time,https://arxiv.org/pdf/1804.04777.pdf,O(k),1.0,Assumes evaluation of hash function is constant-time. Works with good probability,https://arxiv.org/pdf/1804.04777.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
