Number,Domain,Datastructure,Looked at?,Algorithm Description,Algorithm Name,Year,Paper/Reference Link,Original paper?,Comments/Distinguishing Features,Wikipedia article namespace (if it exists and isn't in an earlier row),Authors,Constants,Constants Reference,Space,Space Class,Space Reference,Space Units,Model of Computation,Parameters,Prefered Parameter,Build (Time),Build Runtime Class,"Build Notes (constants, amortized?, randomized?, etc.)",Build Time Reference,Insert (Time),Insert Runtime Class,"Insert Notes (constants, amortized?, randomized?, etc.)",Insert Time Reference,Delete (Time),Delete Runtime Class,"Delete Notes (constants, amortized?, randomized?, etc.)",Delete Time Reference,Find (Time),Find Runtime Class,"Find Notes (constants, amortized?, randomized?, etc.)",Find Reference,Successor/Predecessor (Time),Successor/Predecessor Runtime Class,"Successor/Predecessor Notes (constants, amortized?, randomized?, etc.)",Successor/Predecessor Time Reference,Union (Time),Union Runtime Class,"Union Notes (constants, amortized?, randomized?, etc.)",Union Reference,Min/Max (Time),Min/Max Runtime Class,"Min/Max Notes (constants, amortized?, randomized?, etc.)",Max Reference,Increase-Key/Update (Time),Increase-Key/Update Runtime Class,"Increase-Key/Update Notes (constants, amortized?, randomized?, etc.)",Increase-Key/Update Reference,Push (Time),Push Runtime Class,"Push Notes (constants, amortized?, randomized?, etc.)",Push Reference,Pop Most Recent (Time),Pop Most Recent Runtime Class,"Pop Most Recent Notes (constants, amortized?, randomized?, etc.)",Pop Most Recent Reference,Pop Oldest (Time),Pop Oldest Runtime Class,"Pop Oldest Notes (constants, amortized?, randomized?, etc.)",Pop Oldest Reference,Nearest Neighbor (Time),Nearest Neighbor Runtime Class,"Nearest Neighbor Notes (constants, amortized?, randomized?, etc.)",Nearest Neighbor Reference,Range Search (Time),Range Search Runtime Class,"Range Search Notes (constants, amortized?, randomized?, etc.)",Range Search Reference,Query (Time),Query Runtime Class,"Query Notes (constants, amortized?, randomized?, etc.)",Query Reference
,Ordered Associative Array (Comparison),B+* tree,1,Self-balancing BST,,2019,https://ispranproceedings.elpub.ru/jour/article/view/1188,yes,combination of B+ and B*,,"Rigin, Shershakov",,,O(n),6,,words,Word RAM,"n: number of elements
b: bound variable on # of children for internal nodes ",n,O(n lg n/lg b)?,7,,,O(lg n/lg b),3,,,O(lg n/lg b),3,,,O(lg n/lg b),3,,,O(1)?,1,,,,,,,O(lg n/lg b),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),Scapegoat Tree,1,Self-balancing BST,,1989,https://user.it.uu.se/~arnea/abs/partb.html,yes,,Scapegoat_tree,Andersson,,,O(n),6,,words,Word RAM,n: number of elements,n,O(n lg n),7,worst-case + amortized,,O(lg n),3,worst-case + amortized,http://people.csail.mit.edu/rivest/pubs/GR93.pdf,O(lg n),3,worst-case + amortized,http://people.csail.mit.edu/rivest/pubs/GR93.pdf,O(lg n),3,worst-case + amortized,http://people.csail.mit.edu/rivest/pubs/GR93.pdf,O(lg n),3,,,,,,,O(lg n),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),Splay Tree,1,Self-balancing BST,,1985,https://www.cs.cmu.edu/~sleator/papers/self-adjusting.pdf,yes,conjectured to be optimal up to constant factor (see dynamic optimality conjecture),Splay_tree,"Sleator, Tarjan",,,O(n),6,,words,Word RAM,n: number of elements,n,O(n lg n),7,amortized,,O(lg n),3,amortized,https://www.cs.cmu.edu/~sleator/papers/self-adjusting.pdf,O(lg n),3,amortized,https://www.cs.cmu.edu/~sleator/papers/self-adjusting.pdf,O(lg n),3,amortized,https://www.cs.cmu.edu/~sleator/papers/self-adjusting.pdf,O(lg n)?,3,,,,,,,O(n)?,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),Treap,1,"Self-balancing BST, supports split and intersection",,1989,http://faculty.washington.edu/aragon/pubs/rst89.pdf,yes,,Treap,"Aragon, Seidel",,,O(n),6,,words,Word RAM,n: number of elements,n,O(n lg n),7,with high probability,,O(lg n),3,with high probability,http://faculty.washington.edu/aragon/pubs/rst89.pdf,O(lg n),3,with high probability,http://faculty.washington.edu/aragon/pubs/rst89.pdf,O(lg n),3,with high probability,http://faculty.washington.edu/aragon/pubs/rst89.pdf,O(lg n),3,with high probability,,O(m*lg((n/m)+1)),6,expected running time; tree sizes are m ≤ n. also parallelizable,https://dl.acm.org/doi/10.1145/277651.277660,O(lg n),3,with high probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),Dynamic BST,1,"Self-balancing Dynamic BST, seems to work better on random input sequence",Vinod et al,2006,https://ieeexplore.ieee.org/abstract/document/1648303,yes,,,"Vinod, Pushpa, Maple",,,O(n),6,,words,Word RAM,n: number of elements,n,O(n^2)?,9,worst-case; presumably does better with random sequence of inputs?,,O(n)?,6,worst-case; presumably does better with random sequence of inputs?,,O(n)?,6,worst-case; presumably does better with random sequence of inputs?,,O(n)?,6,worst-case; presumably does better with random sequence of inputs?,,O(n)?,6,worst-case; presumably does better with random sequence of inputs?,,,,,,O(n)?,6,worst-case; presumably does better with random sequence of inputs?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),WAVL Tree,1,Self-balancing BST,,2015,https://dl.acm.org/doi/abs/10.1145/2689412,yes,,WAVL_tree,"Haeupler, Sen, Tarjan",,,O(n),6,,words,Word RAM,n: number of elements,n,O(n lg n),7,,,O(lg n),3,(implicit in paper),https://dl.acm.org/doi/abs/10.1145/2689412,O(lg n),3,(implicit in paper),https://dl.acm.org/doi/abs/10.1145/2689412,O(lg n),3,(due to height bounds),https://dl.acm.org/doi/abs/10.1145/2689412,O(lg n),3,,,,,,,O(lg n),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),Zip Tree,1,Self-balancing BST,,2018,https://arxiv.org/abs/1806.06726,yes,,Zip_tree,"Tarjan, Levy, Timmel",,,O(n),6,,words,Word RAM,n: number of elements,n,O(n lg n)?,7,"with high probability, based on height bounds",,O(lg n)?,3,"with high probability, based on height bounds",https://arxiv.org/abs/1806.06726,O(lg n)?,3,"with high probability, based on height bounds",https://arxiv.org/abs/1806.06726,O(lg n)?,3,"with high probability, based on height bounds",https://arxiv.org/abs/1806.06726,O(lg n)?,3,"with high probability, based on height bounds",,,,,,O(lg n)?,3,"with high probability, based on height bounds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),Partitioned Binary Search Tree,1,Self-balancing BST,,2019,https://www.cys.cic.ipn.mx/ojs/index.php/CyS/article/view/3108/2727,yes,,,"Zouana, Zegour",,,O(n),6,,words,Word RAM,"n: number of elements
k: ""tolerated length of red nodes succession plus 1""",n,O(nk lg (1+n/k)),7,,,O(k*lg (1+n/k)),3,based on height bounds + maintenance operations,https://www.cys.cic.ipn.mx/ojs/index.php/CyS/article/view/3108/2727,O(k*lg (1+n/k)),3,based on height bounds + maintenance operations,https://www.cys.cic.ipn.mx/ojs/index.php/CyS/article/view/3108/2727,O(k*lg (1+n/k)),3,based on height bounds,https://www.cys.cic.ipn.mx/ojs/index.php/CyS/article/view/3108/2727,O(k*lg (1+n/k)),3,based on height bounds,,,,,,O(k*lg (1+n/k)),3,based on height bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),BB[alpha] Tree,1,Self-balancing BST,,1973,https://dl.acm.org/doi/pdf/10.1145/800152.804906,yes,,Weight-balanced_tree,"Nievergelt, Reingold",,,O(n),6,,words,Word RAM,"n: number of elements
alpha: weight balancing factor",n,O(n lg n),7,amortized,https://publikationen.sulb.uni-saarland.de/handle/20.500.11880/26129,O(lg n),3,amortized (based on height bounds + maintenance operations),https://publikationen.sulb.uni-saarland.de/handle/20.500.11880/26129,O(lg n),3,amortized (based on height bounds + maintenance operations),https://publikationen.sulb.uni-saarland.de/handle/20.500.11880/26129,O(lg n),3,,https://dl.acm.org/doi/pdf/10.1145/800152.804906,O(lg n),3,based on height bounds,,O(m lg(n/m)+1),6,tree sizes are m ≤ n. also parallelizable?,https://dl.acm.org/doi/pdf/10.1145/2935764.2935768,O(lg n),3,based on height bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),Skip List,1,,,1989,https://dl.acm.org/doi/pdf/10.1145/78973.78977,yes,,Skip_list,Pugh,,,O(n) (average case),6,https://dl.acm.org/doi/pdf/10.1145/78973.78977,words,word RAM,n: number of elements,n ,O(n)?,6,expected (based on coin flips determining higher levels),,O(lg n),3,expected (based on which elements appear in the higher levels),https://dl.acm.org/doi/10.1145/78973.78977,O(lg n),3,expected (based on which elements appear in the higher levels),https://dl.acm.org/doi/10.1145/78973.78977,O(lg n),3,expected (based on which elements appear in the higher levels),https://dl.acm.org/doi/10.1145/78973.78977,O(lg n),3,expected (based on which elements appear in the higher levels),,,,,,O(1)?,1,for min only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),Deterministic Skip List,1,,,1992,https://www.ic.unicamp.br/~celio/peer2peer/skip-net-graph/deterministic-skip-lists-munro.pdf,yes,,,"Munro, Papadakis, Sedgewick",,,O(n),6,https://www.ic.unicamp.br/~celio/peer2peer/skip-net-graph/deterministic-skip-lists-munro.pdf,words,word RAM,n: number of elements,n ,O(n)?,6,,,O(lg n),3,,https://www.ic.unicamp.br/~celio/peer2peer/skip-net-graph/deterministic-skip-lists-munro.pdf,O(lg n),3,,https://www.ic.unicamp.br/~celio/peer2peer/skip-net-graph/deterministic-skip-lists-munro.pdf,O(lg n),3,,https://www.ic.unicamp.br/~celio/peer2peer/skip-net-graph/deterministic-skip-lists-munro.pdf,O(lg n),3,,,,,,,O(1)?,1,for min only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordered Associative Array (Comparison),Jump List,1,,,1995,https://epubs.siam.org/doi/pdf/10.1137/S0097539792241102?casa_token=RoY3RrpUuFMAAAAA:Sc89TVYIb4xGcTVVpBeM-WoC7JonLRX7Jq8jOaEsyJydwqW-cEsdJEJEGGXOcvFZuUrr7c3qSA,yes,,,"Andersson, Ottmann",,,O(cn),6,https://epubs.siam.org/doi/pdf/10.1137/S0097539792241102?casa_token=RoY3RrpUuFMAAAAA:Sc89TVYIb4xGcTVVpBeM-WoC7JonLRX7Jq8jOaEsyJydwqW-cEsdJEJEGGXOcvFZuUrr7c3qSA,words,word RAM,"n: number of characters in string
c: number of levels",n ,O(n lg n)?,7,sort and then put in edges as necessary,,O(n^(floor(c/2)/c)),4.67,(amortized or assumes number of elements stays within certain bounds),https://epubs.siam.org/doi/pdf/10.1137/S0097539792241102?casa_token=RoY3RrpUuFMAAAAA:Sc89TVYIb4xGcTVVpBeM-WoC7JonLRX7Jq8jOaEsyJydwqW-cEsdJEJEGGXOcvFZuUrr7c3qSA,O(n^(floor(c/2)/c)),4.67,(amortized or assumes number of elements stays within certain bounds),https://epubs.siam.org/doi/pdf/10.1137/S0097539792241102?casa_token=RoY3RrpUuFMAAAAA:Sc89TVYIb4xGcTVVpBeM-WoC7JonLRX7Jq8jOaEsyJydwqW-cEsdJEJEGGXOcvFZuUrr7c3qSA,O(c*n^(1/c)),4.67,,https://epubs.siam.org/doi/pdf/10.1137/S0097539792241102?casa_token=RoY3RrpUuFMAAAAA:Sc89TVYIb4xGcTVVpBeM-WoC7JonLRX7Jq8jOaEsyJydwqW-cEsdJEJEGGXOcvFZuUrr7c3qSA,,,,,,,,,O(1)?,1,(can be kept track of as a pointer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ordered Associative Array (Comparison), External Memory",Buffer Tree,0.001,,,,https://www.cs.cmu.edu/afs/cs/project/pscico-guyb/realworld/www/slidesF10/buffertree.pdf,,,,,,,,,https://static.aminer.org/pdf/PDF/000/185/931/external_memory_data_structures.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ordered Associative Array (Non-Comparison), Large Universe",van Emde Boas Tree,1,Finite-Universe Tree Data Structure,,1975,https://www.sciencedirect.com/science/article/pii/002001907790031X,yes,,Van_Emde_Boas_tree,van Emde Boas,,,O(U),11,https://www.sciencedirect.com/science/article/pii/002001907790031X,words,Word RAM,"U: number of elements in universe (around O(2^n))
n: number of elements stored",n,O(U lg lg U),11,,https://www.sciencedirect.com/science/article/pii/002001907790031X,O(lg lg U),3,,https://www.sciencedirect.com/science/article/pii/002001907790031X,O(lg lg U),3,,https://www.sciencedirect.com/science/article/pii/002001907790031X,O(lg lg U),3,,https://www.sciencedirect.com/science/article/pii/002001907790031X,O(lg lg U),3,,https://www.sciencedirect.com/science/article/pii/002001907790031X,O(n lg lg U)?,7,,,O(1),1,(stored as attributes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ordered Associative Array (Non-Comparison), Large Universe",p-fast Trie,1,Finite-Universe Tree Data Structure,,1981,https://www.sciencedirect.com/science/article/pii/0022000084900205,yes,simpler fersion of q-fast trie,,Willard,,,O(n*sqrt(lg U)*2^(sqrt(lg U))),10.5,https://www.sciencedirect.com/science/article/pii/0022000084900205,words,Word RAM,"U: number of elements in universe (around O(2^n))
n: number of elements stored",n,O(n*sqrt(lg U)*2^(sqrt(lg U)))?,10.5,,,O(sqrt(lg U)),5,,https://www.sciencedirect.com/science/article/pii/0022000084900205,O(sqrt(lg U)),5,,https://www.sciencedirect.com/science/article/pii/0022000084900205,O(sqrt(lg U)),5,,https://www.sciencedirect.com/science/article/pii/0022000084900205,O(sqrt(lg U)),5,,,O(n*sqrt(lg U)*2^(sqrt(lg U)))?,10.5,,,O(sqrt(lg U))?,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ordered Associative Array (Non-Comparison), Large Universe",q-fast Trie,1,Finite-Universe Tree Data Structure,,1981,https://www.sciencedirect.com/science/article/pii/0022000084900205,yes,,,Willard,,,O(n),6,https://www.sciencedirect.com/science/article/pii/0022000084900205,words,Word RAM,"U: number of elements in universe (around O(2^n))
n: number of elements stored",n,O(n*sqrt(lg U)*2^(sqrt(lg U)))?,10.5,,,O(sqrt(lg U)),5,,https://www.sciencedirect.com/science/article/pii/0022000084900205,O(sqrt(lg U)),5,,https://www.sciencedirect.com/science/article/pii/0022000084900205,O(sqrt(lg U)),5,,https://www.sciencedirect.com/science/article/pii/0022000084900205,O(sqrt(lg U)),5,,,O(n*sqrt(lg U)*2^(sqrt(lg U)))?,10.5,,,O(sqrt(lg U))?,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ordered Associative Array (Non-Comparison), Large Universe",x-fast Trie,1,Finite-Universe Tree Data Structure,,1982,https://www.sciencedirect.com/science/article/pii/0020019083900753,yes,simpler version of y-fast trie,X-fast_trie,Willard,,,O(n lg U),9,https://www.sciencedirect.com/science/article/pii/0020019083900753?via%3Dihub,words,Word RAM,"U: number of elements in universe (around O(2^n))
n: number of elements stored",n,O(n lg U),9,,,O(lg U),6,,http://courses.csail.mit.edu/6.851/spring10/scribe/lec09.pdf,O(lg U),6,,http://courses.csail.mit.edu/6.851/spring10/scribe/lec09.pdf,O(lg lg U),3,,https://www.sciencedirect.com/science/article/pii/0020019083900753?via%3Dihub,O(lg lg U),3,,https://www.sciencedirect.com/science/article/pii/0020019083900753?via%3Dihub,O(n lg U)?,9,,,O(lg lg U)?,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ordered Associative Array (Non-Comparison), Large Universe",y-fast Trie,1,Finite-Universe Tree Data Structure,,1982,https://www.sciencedirect.com/science/article/pii/0020019083900753,yes,,Y-fast_trie,Willard,,,O(n),6,https://www.sciencedirect.com/science/article/pii/0020019083900753?via%3Dihub,words,Word RAM,"U: number of elements in universe (around O(2^n))
n: number of elements stored",n,O(n lg lg U),7,expected amortized,,O(lg lg U),3,expected amortized,http://courses.csail.mit.edu/6.851/spring10/scribe/lec09.pdf,O(lg lg U),3,expected amortized,http://courses.csail.mit.edu/6.851/spring10/scribe/lec09.pdf,O(lg lg U),3,,https://www.sciencedirect.com/science/article/pii/0020019083900753?via%3Dihub,O(lg lg U),3,,https://www.sciencedirect.com/science/article/pii/0020019083900753?via%3Dihub,O(n lg lg U)?,7,,,O(lg lg U)?,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ordered Associative Array (Non-Comparison), Large Universe",Fusion Tree,1,Finite-Universe Tree Data Structure,,1990,https://dl.acm.org/doi/10.1145/100216.100217,yes,,Fusion_tree,"Fredman, Willard",,,O(n),6,https://dl.acm.org/doi/10.1145/100216.100217,words,Word RAM,"U: number of elements in universe (around O(2^n))
n: number of elements stored",n,O((n lg n)/(lg lg n)),6.99,,,O((lg n)/(lg lg n)),2.99,,https://dl.acm.org/doi/10.1145/100216.100217,O((lg n)/(lg lg n)),2.99,,https://dl.acm.org/doi/10.1145/100216.100217,O((lg n)/(lg lg n)),2.99,,https://dl.acm.org/doi/10.1145/100216.100217,O((lg n)/(lg lg n)),2.99,,https://dl.acm.org/doi/10.1145/100216.100217,O((n lg n)/(lg lg n))?,6.99,,,O((lg n)/(lg lg n))?,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ordered Associative Array (Non-Comparison), Large Universe",Exponential Tree,1,Finite-Universe Tree Data Structure,,1996,https://ieeexplore.ieee.org/document/548472,yes,,Exponential_tree,Andersson,,,O(n),6,https://ieeexplore.ieee.org/document/548472,words,Word RAM,"U: number of elements in universe (around O(2^n))
n: number of elements stored",n,O(n*sqrt(lg n)),6.5,,https://ieeexplore.ieee.org/document/548472,"O(min{sqrt(lg n), lg lg n + (lg n)/(lg w), (lg w) * (lg lg n)})",2.5,amortized,https://ieeexplore.ieee.org/document/548472,"O(min{sqrt(lg n), lg lg n + (lg n)/(lg w), (lg w) * (lg lg n)})",2.5,amortized,https://ieeexplore.ieee.org/document/548472,"O(min{sqrt(lg n), lg lg n + (lg n)/(lg w), (lg w) * (lg lg n)})",2.5,,https://ieeexplore.ieee.org/document/548472,"O(min{sqrt(lg n), lg lg n + (lg n)/(lg w), (lg w) * (lg lg n)})",2.5,,https://ieeexplore.ieee.org/document/548472,O(n*sqrt(lg n)),6.5,,,"O(min{sqrt(lg n), lg lg n + (lg n)/(lg w), (lg w) * (lg lg n)})",2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ordered Associative Array (Non-Comparison), Large Universe","Fusion Tree (dynamic, using Exponential Trees)",1,Finite-Universe Tree Data Structure,,2007,https://arxiv.org/abs/cs/0210006,yes,,,"Andersson, Thorup",,,O(n),6,https://arxiv.org/abs/cs/0210006,words,Word RAM,"U: number of elements in universe (around O(2^n))
n: number of elements stored",n,O(n((lg n)/(lg lg U) + lg lg n))?,6.01,,,O((lg n)/(lg lg U) + lg lg n),2,,https://arxiv.org/abs/cs/0210006 (Corollary 19),O((lg n)/(lg lg U) + lg lg n),2,,https://arxiv.org/abs/cs/0210006 (Corollary 19),O((lg n)/(lg lg U) + lg lg n),2,,https://arxiv.org/abs/cs/0210006 (Corollary 19),O((lg n)/(lg lg U) + lg lg n),2,,https://arxiv.org/abs/cs/0210006 (Corollary 19),O(n*(lg n)/(lg lg U) + lg lg n)?,6.01,,,O((lg n)/(lg lg U) + lg lg n),2,,https://arxiv.org/abs/cs/0210006 (Corollary 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
