,Old Family #,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact algorithm?,Time Complexity (Average),Average Case Distribution,Reference?,Unnamed: 12,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
10,32.0,Cycle Detection,2.0,Cycle Detection,325.0,,,1,0,\mu + 3/2 \lambda,"Elements have independently random magnitudes, subject to periodicity constraints \mu and \lambda",https://drive.google.com/file/d/16H_lrjeaBJqWvcn07C_w-6VNHldJ-ZZl/view,[https://drive.google.com/file/d/16H_lrjeaBJqWvcn07C_w-6VNHldJ-ZZl/view Nivasch (2004)],Nivasch,2004,https://drive.google.com/file/d/16H_lrjeaBJqWvcn07C_w-6VNHldJ-ZZl/view,,,,0.0,0,3,"\mu: 3,
\lambda: 3",$O(\mu + \lambda)$,"$\mu$: index of first element in cycle
$\lambda$: cycle length",\mu,,,not mentioned,Stack size,2,\mu: 2,O(\log\mu),https://www.gabrielnivasch.org/fun/cycle-detection,0.0,1.0,,0,,0,,0,0,,0,0,,"cycle detection or cycle finding is the algorithmic problem of finding a cycle
 in a sequence of iterated function values.",,,,,,,,,,9.965,,,,,,,,,6,,,Combinatorics
11,1.0,Sorting,2.0,Comparison Sorting,1.0,,,1,1,O( n² ),uniform distribution over all possible permutations,"""CLRS""?",[- Naive sorting (1940)],Naive sorting,1940,-,1,1.0,,1.0,0,5,n: 5,O(n^2),n: size of list,n,,,Word RAM,words,1,n: 1,O(1) (in-situ),in-situ,1.0,0.0,,0,,0,,0,0,,0,0,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1.0,n is the size of the array to be sorted.,,,,,,,,1000000.0,1,,1000000000000,1,,1E+18,1,,4,,,Combinatorics
12,1.0,Sorting,2.0,Comparison Sorting,2.0,,,1,1,O( n² ),Any distribution (runtime is same regardless of input),(same behavior across all inputs),[- Selection Sort (1962)],Selection Sort,1962,-,,,,0.0,0,5,n: 5,O(n^2),n: size of list,n,,,Word RAM,words,1,n: 1,O(1) (in-situ),in-situ,1.0,0.0,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/Selection_sort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1.0,n is the size of the array to be sorted.,,,,,,,,1000000.0,1,,,,,,,,4,,,Combinatorics
13,1.0,Sorting,2.0,Comparison Sorting,3.0,,,1,1,O(n logn),"Any distribution (runtime is same regardless of input, at least in the typical implementation)",(same behavior across all inputs),[- Merge Sort (1945)],Merge Sort,1945,-,,,,1.0,4->5,4,n: 4,O(n \log n),n: size of list,n,,,Word RAM,words,3,n: 3,O(n),need some way to store partially processed lists while merging,1.0,0.0,,0,,0,,0,0,,0,0,"https://en.wikipedia.org/wiki/Merge_sort#cite_note-2

https://www.ijser.org/researchpaper/Evaluation-of-Sorting-Algorithms-Mathematical-and-Empirical-Analysis-of-sorting-Algorithms.pdf",A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1.0,n is the size of the array to be sorted.,,,,,,,,9965.0,100.3512293,,,,,,,,4,,,Combinatorics
14,1.0,Sorting,2.0,Comparison Sorting,5.0,,,1,1,O( n² ),uniform distribution over all possible permutations,(can be easily derived),[- Bubble Sort (1956)],Bubble Sort,1956,-,,,,0.0,0,5,n: 5,O(n^2),n: size of list,n,,,Word RAM,words,1,n: 1,O(1) (in-situ),in-situ,1.0,0.0,,0,,0,,0,0,,0,0,https://www.ijser.org/researchpaper/Evaluation-of-Sorting-Algorithms-Mathematical-and-Empirical-Analysis-of-sorting-Algorithms.pdf,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1.0,n is the size of the array to be sorted.,,,,,,,,1000000.0,1,,,,,,,,4,,,Combinatorics
15,1.0,Sorting,2.0,Comparison Sorting,8.0,,,1,1,O(n logn),uniform distribution over all possible permutations,(lower bound for average-case in sorting + upper bound for heapsort),[https://onlinelibrary.wiley.com/doi/abs/10.1002/%28SICI%291097-024X%28199708%2927%3A8%3C983%3A%3AAID-SPE117%3E3.0.CO%3B2-%23 Intro Sort (1997)],Intro Sort,1997,https://onlinelibrary.wiley.com/doi/abs/10.1002/%28SICI%291097-024X%28199708%2927%3A8%3C983%3A%3AAID-SPE117%3E3.0.CO%3B2-%23,,,,0.0,0,4,n: 4,O(n \log n),n: size of list,n,,,Word RAM,words,2,n: 2,O(logn),(see quicksort + heapsort),1.0,0.0,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/Introsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1.0,n is the size of the array to be sorted.,,,,,,,,9965.0,100.3512293,,,,,,,,4,,,Combinatorics
16,1.0,Sorting,2.0,Comparison Sorting,24.0,,,1,1,O(n logn),uniform distribution over all possible permutations (reference proof possibly not complete?),https://www.sciencedirect.com/science/article/pii/030439759390364Y?via%3Dihub,[https://www.bibsonomy.org/bibtex/2f485e4ea9a877871b59ab503151a7f10/bjoern Heap Sort (1964)],Heap Sort,1964,https://www.bibsonomy.org/bibtex/2f485e4ea9a877871b59ab503151a7f10/bjoern,,,,0.0,0,4,n: 4,O(n \log n),n: size of list,n,,,Word RAM,words,1,n: 1,O(1) (in-situ),(can be easily derived),1.0,0.0,,0,,0,,0,0,0,0,0,https://en.wikipedia.org/wiki/Heapsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1.0,n is the size of the array to be sorted.,,,,,,,,9965.0,100.3512293,,,,,,,,4,,,Combinatorics
17,1.0,Sorting,2.0,Non-Comparison Sorting,7.0,,,1,1,O(n+k),uniform distribution over all sets of key values,CLRS,[http://bitsavers.org/pdf/mit/whirlwind/R-series/R-232_Information_Sorting_in_the_Application_of_Electronic_Digital_Computers_to_Business_Operations_May54.pdf Counting Sort (1954)],Counting Sort,1954,http://bitsavers.org/pdf/mit/whirlwind/R-series/R-232_Information_Sorting_in_the_Application_of_Electronic_Digital_Computers_to_Business_Operations_May54.pdf,,,,0.0,0,3,"n: 3,
k: 3",O(n+k),"n: size of list
k: range of non-negative key values",n,,,Word RAM,words,3,"n: 3,
k: 3",O(n+k),(can be easily derived),1.0,0.0,,0,,0,,0,0,,0,0,"https://en.wikipedia.org/wiki/Counting_sort

https://www.ijser.org/researchpaper/Evaluation-of-Sorting-Algorithms-Mathematical-and-Empirical-Analysis-of-sorting-Algorithms.pdf",A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1.0,n is the size of the array to be sorted.,,,,,,,,1000.0,1000,,,,,,,,4,,,Combinatorics
18,1.0,Sorting,2.0,Non-Comparison Sorting,16.0,,,1,1,O(n),uniform distribution of elements within domain of array,CLRS,[- Bucket Sort (1940)],Bucket Sort,1940,-,,,,0.0,0,5,n: 5,O( n² ),n: size of list,n,,,Word RAM,words,3,n: 3,O(n),CLRS,0.0,0.0,,0,,0,,0,0,,0,0,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1.0,n is the size of the array to be sorted.,,,,,,,,1000000.0,1,,,,,,,,4,,,Combinatorics
19,1.0,Sorting,2.0,Non-Comparison Sorting,21.0,,,1,1,O(wn),Any distribution (runtime is same regardless of input),(same general behavior across all inputs),[- Radix Sort (1940)],Radix Sort,1940,-,4,1.0,,1.0,4->6,3,"n: 3,
w: 3",O(wn),"n: size of list
w: length of word",n,,,Word RAM,words,3,"n: 3,
w: 3",O(w+n),(wikipedia page?),0.0,0.0,,0,,0,,0,0,,0,0,"https://en.wikipedia.org/wiki/Radix_sort

https://www.ijser.org/researchpaper/Evaluation-of-Sorting-Algorithms-Mathematical-and-Empirical-Analysis-of-sorting-Algorithms.pdf",A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1.0,n is the size of the array to be sorted.,,,,,,,,1000.0,1000,999.0,1000000,1000000,999999.0,1000000000,1000000000,999999999.0,4,,,Combinatorics
20,2.0,kth Order Statistic,2.0,kth Order Statistic,26.0,,,1,1,O(nlogn),uniform distribution over all possible permutations (see sorting),(can derive from sorting + linear scan),[- Naive Selection (1940)],Naive Selection,1940,-,1,1.0,https://en.wikipedia.org/wiki/Selection_algorithm,1.0,0,4,n: 4,O(n \log n),n: size of list,n,,,Word RAM,words,1,n: 1,O(1) (in-situ),can be easily derived,1.0,0.0,,0,,0,,0,0,,0,0,,the kth order statistic of a statistical sample is equal to its kth-smallest value.,1.0,n is the size of the array,,,,,,,,9965.0,1,,19931568,1,,29897352854,1,,5,,,Combinatorics
21,2.0,kth Order Statistic,2.0,kth Order Statistic,27.0,,,1,1,O(n),uniform distribution over all possible permutations,https://11011110.github.io/blog/2007/10/09/blum-style-analysis-of.html,[https://dl.acm.org/citation.cfm?doid=366622.366647 Hoare's Selection Algorithm (QuickSelect) (1961)],Hoare's Selection Algorithm (QuickSelect),1961,https://dl.acm.org/citation.cfm?doid=366622.366647,,,,0.0,0,5,n: 5,O(n^2),n: size of list,n,,,Word RAM,words,1,n: 1,O(1) (in-situ),can be easily derived,1.0,0.0,,0,,0,,0,0,,0,0,,the kth order statistic of a statistical sample is equal to its kth-smallest value.,1.0,n is the size of the array,,,,,,,,1000.0,9.965,,,,,,,,5,,,Combinatorics
22,3.0,Matrix Chain Multiplication,2.0,Matrix Chain Ordering Problem,29.0,,,1,1,O (4^n),Any distribution (runtime is same regardless of input),CLRS for runtime,[- Brute Force (1940)],Brute Force,1940,-,1,1.0,http://www.cs.tut.fi/~elomaa/teach/AADS-2014-7.pdf,1.0,0,8,n: 8,$O(4^n)$,n: number of matrices,n,,,Word RAM,words,3,n: 3,O(n),can be derived,1.0,0.0,,0,,0,,0,0,,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,inf,1,,Inf,1,,Inf,1,,1,,,Combinatorics
23,3.0,Matrix Chain Multiplication,2.0,Matrix Chain Ordering Problem,30.0,,,1,1,O(n^3),Any distribution (runtime is same regardless of input),CLRS for runtime,[- Dynamic Programming Algorithm (S. S. Godbole) (1953)],Dynamic Programming Algorithm (S. S. Godbole),1953,-,,,,1.0,1->3,6,n: 6,O(n^3),n: number of matrices,n,,,Word RAM,words,5,n: 5,O(n^2),CLRS http://mitpress.mit.edu/9780262046305/introduction-to-algorithms/,0.0,0.0,,0,,0,,0,0,,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,1000000000.0,Inf,,,,,,,,1,,,Combinatorics
24,4.0,Longest Common Subsequence,2.0,LCS,38.0,,,1,1,O(mn),Any distribution (runtime is same regardless of input),(can be easily derived),[https://dl.acm.org/citation.cfm?doid=321796.321811 Wagner and Fischer (1974)],Wagner and Fischer,1974,https://dl.acm.org/citation.cfm?doid=321796.321811,,,,1.0,-,5,"n: 3,
m: 3,
m+n: 5",O(mn),"n, m: lengths of input strings",m+n,,,Word RAM,words,5,"n: 3,
m: 3,
m+n: 5",O(mn),https://dl.acm.org/doi/10.1145/360825.360861,0.0,0.0,,0,,0,,0,0,,0,0,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,,1000000.0,,1000000000000.0,,1e+18,,250000.0,1,,250000000000,1,,2.5E+17,1,,4,,,Combinatorics
25,5.0,Maximum Flow,2.0,,54.0,,,1,1,O(E^2U),<= possibly open if there's a better bound? i.e. for Erdos-Renyi with uniform edge weights,,[http://www.cs.yale.edu/homes/lans/readings/routing/ford-max_flow-1956.pdf Ford & Fulkerson (1955)],Ford & Fulkerson,1955,http://www.cs.yale.edu/homes/lans/readings/routing/ford-max_flow-1956.pdf,,,,1.0,2->3,7,"V: 7,
E: 5,
U: 3",O(E^2U),"V: number of vertices
E: number of edges
U: maximum edge capacity
Edge weights must be integers",V,,,Word RAM,words,5,"E: 3,
V: 5",O(E),https://core.ac.uk/download/pdf/81946904.pdf,0.0,0.0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",1666.666667,4.623413252,1666666.667,30.6227766,1666666667.0,176.827941,56895766.95,0.004394,,5.68958E+16,0.000004394,,5.68958E+25,0.000000004394,,2,,,Combinatorics
26,5.0,Maximum Flow,2.0,,55.0,,,1,1,O(V^2E),^ see above,,[https://www.scirp.org/(S(lz5mqp453edsnp55rrgjct55))/reference/ReferencesPapers.aspx?ReferenceID=1690549 Dinitz (1970)],Dinitz,1970,https://www.scirp.org/(S(lz5mqp453edsnp55rrgjct55))/reference/ReferencesPapers.aspx?ReferenceID=1690549,,,,0.0,0,7,"V: 7,
E: 3",O(V^2E),"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,5,"E: 3,
V: 5",O(E),https://core.ac.uk/download/pdf/81946904.pdf,0.0,0.0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,20482476.0,384.6153865,,,,,,,,2,,,Combinatorics
27,5.0,Maximum Flow,2.0,,56.0,,,1,1,O(E^2LogU),^ see above,,[https://web.eecs.umich.edu/~pettie/matching/Edmonds-Karp-network-flow.pdf Edmonds & Karp (1972)],Edmonds & Karp,1972,https://web.eecs.umich.edu/~pettie/matching/Edmonds-Karp-network-flow.pdf,,,,1.0,0,7,"V: 7,
E: 5,
U: 2",O(E^2 \log U),"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,5,"E: 3,
V: 5",O(E),https://core.ac.uk/download/pdf/81946904.pdf,0.0,0.0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,1270306.607,0.196802881,,2744535051194,0.0910901101,,4.21876E+18,0.05925906969,,2,,,Combinatorics
28,5.0,Maximum Flow,2.0,,58.0,,,1,1,O(V^3),^ see above,,[http://alexander-karzanov.net/Publications/maxflow-acyc.pdf Karzanov (1974)],Karzanov,1974,http://alexander-karzanov.net/Publications/maxflow-acyc.pdf,,,,0.0,0,6,V: 6,O(V^3),"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,5,"E: 1,
V: 5",O(V^2),https://core.ac.uk/download/pdf/81946904.pdf,0.0,0.0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,12289485.0,641.0256755,,,,,,,,2,,,Combinatorics
29,5.0,Maximum Flow,2.0,,60.0,,,1,1,O(VELog^2V),^ see above,,[https://core.ac.uk/download/pdf/81946904.pdf Galil & Naamad (1980)],Galil & Naamad,1980,https://core.ac.uk/download/pdf/81946904.pdf,,,,1.0,0,6.02,"V: 6.02,
E: 3",O(VE \log^2 V),"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,5,"E: 3,
V: 5",O(E),https://core.ac.uk/download/pdf/81946904.pdf,0.0,1.0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,7559564.594,#VALUE!,,32701134618989,#VALUE!,,7.54729E+19,#VALUE!,,2,,,Combinatorics
30,6.0,Matrix Product,2.0,Matrix Multiplication,74.0,,,1,1,O(n^3),"""Any distribution (runtime is same regardless of input)""",(can be easily derived because additions and multiplications can be done in constant time),[- Naive algorithm (1940)],Naive algorithm,1940,-,,,,1.0,0,4.5,"n: 6,
n^2: 4.5",O(n^3),n: dimension of square matrix,n^2,,,Word RAM,words,1,"n: 1,
n^2: 1",O(1) auxiliary,can be easily derived,1.0,0.0,,0,,0,,0,0,,0,0,,"matrix multiplication or matrix product is a binary operation that produces a matrix
 from two matrices with entries in a field; or; more generally; in a ring
 or even a semiring. ",,,,,,,,,,1000000000.0,1,,1E+18,1,,1E+27,1,,3,,,Combinatorics
31,6.0,Matrix Product,2.0,Matrix Multiplication,75.0,,,1,1,O(n^{(log7/log2)}) ~ O(n^2.807),"""Any distribution (runtime is same regardless of input)""",(can be easily derived because additions and multiplications can be done in constant time),[https://link.springer.com/article/10.1007%2FBF02165411 Strassen's algorithm (1969)],Strassen's algorithm,1969,https://link.springer.com/article/10.1007%2FBF02165411,,,,1.0,0,4.4035,"n: 5.807,
n^2: 4.4035",$O(n^{(log7/log2)}) ~ O(n^{2.807})$,n: dimension of square matrix,n^2,,,Word RAM,words,3,"n: 5,
n^2: 3",O(n^2),http://www.cs.cmu.edu/afs/cs/academic/class/15750-s17/ScribeNotes/lecture1.pdf,0.0,0.0,,0,,0,,0,0,,0,0,,"matrix multiplication or matrix product is a binary operation that produces a matrix
 from two matrices with entries in a field; or; more generally; in a ring
 or even a semiring. ",,,,,,,,,,263633138.6,3.79314985,0.04704540988,6.95024E+16,14.38798578,0.09630409036,1.83231E+25,54.57578611,0.1478801656,3,,,Combinatorics
32,6.0,Matrix Product,2.0,Matrix Multiplication,76.0,,,1,1,O(n^{(log(143640)/log(70))}) ~ O(n^{2.795}),"""Any distribution (runtime is same regardless of input)""",(can be easily derived because additions and multiplications can be done in constant time),[https://ieeexplore.ieee.org/document/4567976 Pan's algorithm (1978)],Pan's algorithm,1978,https://ieeexplore.ieee.org/document/4567976,,,,1.0,0,4.3975,"n: 5.795,
n^2: 4.3975",$O(n^{(log(143640)/log(70))}) ~ O(n^{2.795})$,n: dimension of square matrix,n^2,,,Word RAM,words,3,"n: 5,
n^2: 3",O(n^2),Re-use of space in recursive branches,1.0,0.0,,0,,0,,0,0,,0,0,,"matrix multiplication or matrix product is a binary operation that produces a matrix
 from two matrices with entries in a field; or; more generally; in a ring
 or even a semiring. ",,,,,,,,,,251188643.2,3.981071706,0.03702559087,6.30957E+16,15.84893192,0.07542207611,1.58489E+25,63.09573445,0.1152402139,3,,,Combinatorics
